BLOOD MACHINE;1872;435;3719;582;3279;584;155;351;242;1629;1686;1695;1500;1548;1949;1742;1779;1500;1548;1500;1500
I fucked up;12;0;12;2;15;5;1;0;0;1284;1500;1500;1500;1500;1284;1500;1500;1500;1500;1500;1500
Onyo;3068;597;9375;1031;7550;1492;317;537;468;2132;1912;1868;1500;1718;2205;2053;2062;1500;1931;1500;1500
Wat;5;1;0;0;0;0;0;0;4;1500;1500;1486;1500;1500;1500;1500;1486;1500;1500;1500;1500
snog;19;0;48;18;50;9;3;0;0;1318;1325;1500;1500;1500;1318;1325;1500;1500;1500;1500;1500
nineten;6;6;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
King Chuck III;26;2;99;11;75;20;2;1;1;1700;1500;1500;1500;1500;1700;1500;1500;1500;1500;1500;1500
troon cemetery;36;0;39;20;50;14;2;2;0;1169;1246;1436;1500;1500;1169;1246;1436;1500;1500;1500;1500
anon;60;13;47;25;109;20;3;1;1;1157;1223;1500;1500;1500;1157;1223;1500;1500;1500;1500;1500
Bork;14;0;21;0;28;6;1;0;1;1457;1457;1500;1500;1500;1457;1457;1500;1500;1500;1500;1500
Tanaka Thai Kikku;32;7;24;8;34;6;0;0;0;1227;1500;1395;1500;1500;1227;1500;1395;1500;1500;1500;1500
not wtf;1389;452;3857;392;2692;602;127;258;196;1953;1854;1879;1500;1605;2208;2043;1879;1500;1749;1500;1500
Pippu;15;0;20;6;18;1;0;3;2;1500;1592;1687;1500;1500;1500;1592;1687;1500;1500;1500;1500
Shlomo;171;4;188;62;242;31;11;5;25;1427;1326;1229;1500;1500;1427;1326;1229;1500;1500;1500;1500
Wonderer;859;479;31;42;75;24;0;35;0;1174;1490;1490;1500;1500;1174;1490;1490;1500;1500;1500;1500
Pizza Tony;114;0;51;11;57;5;8;0;2;1530;1500;1500;1500;1500;1561;1500;1500;1500;1500;1500;1500
Sork;17;0;15;3;17;3;3;0;1;1500;1361;1500;1500;1500;1500;1361;1500;1500;1500;1500;1500
Reshii;12;1;11;0;11;2;1;2;0;1659;1500;1500;1500;1500;1693;1500;1500;1500;1500;1500;1500
a disappointment;80;0;39;14;89;12;2;2;1;1064;1500;1461;1500;1500;1500;1500;1501;1500;1500;1500;1500
KEYBOARD ONLY;49;23;110;5;96;7;9;11;6;2057;1678;1572;1500;1500;2057;1678;1572;1500;1500;1500;1500
Jeffery Epstein;22;0;23;5;26;9;4;0;0;1500;996;1500;1500;1500;1500;996;1500;1500;1500;1500;1500
cancermania;2115;158;3689;641;4520;661;310;177;240;1666;1626;1357;1500;1517;1900;1670;1412;1500;1602;1500;1500
R.T.B;3;0;12;0;11;1;0;1;0;1500;1553;1500;1500;1500;1500;1553;1500;1500;1500;1500;1500
eggsdee;1;0;3;0;2;1;1;0;0;1500;1438;1500;1500;1500;1500;1438;1500;1500;1500;1500;1500
sad anon;4;0;0;3;9;1;0;0;0;1457;1464;1500;1500;1500;1457;1464;1500;1500;1500;1500;1500
faggot;4;0;2;0;5;1;0;0;0;1440;1400;1500;1500;1500;1440;1400;1500;1500;1500;1500;1500
Player 4;1;1;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Player 3;3;2;3;1;2;0;0;1;0;1500;1495;1500;1500;1500;1500;1495;1500;1500;1500;1500;1500
